distance_group,srcid,grade,z_use,href
CEERS__source_id_fof_08438,3527,3.0,2.6542,sources/source_0186_CEERS__source_id_fof_08438.html
CEERS__source_id_fof_08813,8683,3.0,2.6564,sources/source_0187_CEERS__source_id_fof_08813.html
CEERS__source_id_fof_08072,12771,3.0,2.6623,sources/source_0188_CEERS__source_id_fof_08072.html
CEERS__source_id_fof_08492,3967,3.0,2.7021,sources/source_0189_CEERS__source_id_fof_08492.html
CEERS__source_id_fof_08152,16384,3.0,2.7028,sources/source_0190_CEERS__source_id_fof_08152.html
CEERS__source_id_fof_08056,1211,3.0,2.7057,sources/source_0191_CEERS__source_id_fof_08056.html
CEERS__source_id_fof_08147,16207,3.0,2.7072,sources/source_0192_CEERS__source_id_fof_08147.html
CEERS__source_id_fof_08489,3939,3.0,2.7121,sources/source_0193_CEERS__source_id_fof_08489.html
CEERS__source_id_fof_08622,5970,3.0,2.7202,sources/source_0194_CEERS__source_id_fof_08622.html
CEERS__source_id_fof_08159,16788,3.0,2.7318,sources/source_0195_CEERS__source_id_fof_08159.html
CEERS__source_id_fof_08161,16834,3.0,2.7366,sources/source_0196_CEERS__source_id_fof_08161.html
CEERS__source_id_fof_08340,2772,3.0,2.7374,sources/source_0197_CEERS__source_id_fof_08340.html
CEERS__source_id_fof_08682,7975,3.0,2.7409,sources/source_0198_CEERS__source_id_fof_08682.html
CEERS__source_id_fof_07771,11221,3.0,2.7423,sources/source_0199_CEERS__source_id_fof_07771.html
CEERS__source_id_fof_08164,16999,3.0,2.7448,sources/source_0200_CEERS__source_id_fof_08164.html
CEERS__source_id_fof_08096,14100,3.0,2.7465,sources/source_0201_CEERS__source_id_fof_08096.html
CEERS__source_id_fof_08199,18466,3.0,2.7640,sources/source_0202_CEERS__source_id_fof_08199.html
CEERS__source_id_fof_08180,17578,3.0,2.7776,sources/source_0203_CEERS__source_id_fof_08180.html
CEERS__source_id_fof_08621,5884,3.0,2.8592,sources/source_0204_CEERS__source_id_fof_08621.html
CEERS__source_id_fof_08342,2774,3.0,2.8717,sources/source_0205_CEERS__source_id_fof_08342.html
CEERS__source_id_fof_08463,36714,3.0,2.8717,sources/source_0206_CEERS__source_id_fof_08463.html
CEERS__source_id_fof_08412,3192,3.0,2.8923,sources/source_0207_CEERS__source_id_fof_08412.html
CEERS__source_id_fof_08805,85788,3.0,2.8926,sources/source_0208_CEERS__source_id_fof_08805.html
CEERS__source_id_fof_07796,18188,3.0,2.8954,sources/source_0209_CEERS__source_id_fof_07796.html
CEERS__source_id_fof_08256,22274,3.0,2.8977,sources/source_0210_CEERS__source_id_fof_08256.html
CEERS__source_id_fof_08250,21951,3.0,2.9306,sources/source_0211_CEERS__source_id_fof_08250.html
CEERS__source_id_fof_07835,307,3.0,2.9326,sources/source_0212_CEERS__source_id_fof_07835.html
CEERS__source_id_fof_08800,85552,3.0,2.9412,sources/source_0213_CEERS__source_id_fof_08800.html
CEERS__source_id_fof_08717,8045,3.0,2.9420,sources/source_0214_CEERS__source_id_fof_08717.html
CEERS__source_id_fof_07772,11258,3.0,2.9440,sources/source_0215_CEERS__source_id_fof_07772.html
CEERS__source_id_fof_07793,17309,3.0,2.9459,sources/source_0216_CEERS__source_id_fof_07793.html
CEERS__source_id_fof_07785,15766,3.0,2.9479,sources/source_0217_CEERS__source_id_fof_07785.html
CEERS__source_id_fof_05175,84763,3.0,2.9641,sources/source_0218_CEERS__source_id_fof_05175.html
CEERS__source_id_fof_08794,84891,3.0,2.9780,sources/source_0219_CEERS__source_id_fof_08794.html
CEERS__source_id_fof_05165,12761,3.0,3.0116,sources/source_0220_CEERS__source_id_fof_05165.html
CEERS__source_id_fof_08790,84677,3.0,3.0462,sources/source_0221_CEERS__source_id_fof_08790.html
CEERS__source_id_fof_07790,1636,3.0,3.0592,sources/source_0222_CEERS__source_id_fof_07790.html
CEERS__source_id_fof_08304,2552,3.0,3.0943,sources/source_0223_CEERS__source_id_fof_08304.html
CEERS__source_id_fof_07873,7,3.0,3.0961,sources/source_0224_CEERS__source_id_fof_07873.html
CEERS__source_id_fof_08104,14236,3.0,3.1127,sources/source_0225_CEERS__source_id_fof_08104.html
CEERS__source_id_fof_08268,22912,3.0,3.1222,sources/source_0226_CEERS__source_id_fof_08268.html
CEERS__source_id_fof_08807,85815,3.0,3.1895,sources/source_0227_CEERS__source_id_fof_08807.html
CEERS__source_id_fof_07776,12431,3.0,3.2126,sources/source_0228_CEERS__source_id_fof_07776.html
CEERS__source_id_fof_07775,11518,3.0,3.2175,sources/source_0229_CEERS__source_id_fof_07775.html
CEERS__source_id_fof_08078,13656,3.0,3.2202,sources/source_0230_CEERS__source_id_fof_08078.html
CEERS__source_id_fof_08285,2411,3.0,3.2274,sources/source_0231_CEERS__source_id_fof_08285.html
CEERS__source_id_fof_08133,15128,3.0,3.2304,sources/source_0232_CEERS__source_id_fof_08133.html
CEERS__source_id_fof_07773,11318,3.0,3.2346,sources/source_0233_CEERS__source_id_fof_07773.html
CEERS__source_id_fof_08343,2779,3.0,3.2396,sources/source_0234_CEERS__source_id_fof_08343.html
CEERS__source_id_fof_08791,84733,3.0,3.2418,sources/source_0235_CEERS__source_id_fof_08791.html
CEERS__source_id_fof_08046,11753,3.0,3.2439,sources/source_0236_CEERS__source_id_fof_08046.html
CEERS__source_id_fof_08739,8105,3.0,3.2520,sources/source_0237_CEERS__source_id_fof_08739.html
CEERS__source_id_fof_07783,15057,3.0,3.2567,sources/source_0238_CEERS__source_id_fof_07783.html
CEERS__source_id_fof_05121,11315,3.0,3.2669,sources/source_0239_CEERS__source_id_fof_05121.html
CEERS__source_id_fof_08062,12361,3.0,3.2767,sources/source_0240_CEERS__source_id_fof_08062.html
CEERS__source_id_fof_08118,14667,3.0,3.2982,sources/source_0241_CEERS__source_id_fof_08118.html
CEERS__source_id_fof_08042,11699,3.0,3.3009,sources/source_0242_CEERS__source_id_fof_08042.html
CEERS__source_id_fof_07778,12462,3.0,3.3033,sources/source_0243_CEERS__source_id_fof_07778.html
CEERS__source_id_fof_08302,2549,3.0,3.3085,sources/source_0244_CEERS__source_id_fof_08302.html
CEERS__source_id_fof_08262,22576,3.0,3.3171,sources/source_0245_CEERS__source_id_fof_08262.html
CEERS__source_id_fof_07782,14516,3.0,3.3352,sources/source_0246_CEERS__source_id_fof_07782.html
CEERS__source_id_fof_08067,12459,3.0,3.3370,sources/source_0247_CEERS__source_id_fof_08067.html
CEERS__source_id_fof_08011,10593,3.0,3.3402,sources/source_0248_CEERS__source_id_fof_08011.html
CEERS__source_id_fof_08799,85551,3.0,3.3427,sources/source_0249_CEERS__source_id_fof_08799.html
CEERS__source_id_fof_08130,14935,3.0,3.3496,sources/source_0250_CEERS__source_id_fof_08130.html
CEERS__source_id_fof_08261,22546,3.0,3.3540,sources/source_0251_CEERS__source_id_fof_08261.html
CEERS__source_id_fof_08802,85630,3.0,3.3907,sources/source_0252_CEERS__source_id_fof_08802.html
CEERS__source_id_fof_08786,84603,3.0,3.4149,sources/source_0253_CEERS__source_id_fof_08786.html
CEERS__source_id_fof_08359,29001,3.0,3.4329,sources/source_0254_CEERS__source_id_fof_08359.html
CEERS__source_id_fof_08277,2348,3.0,3.4349,sources/source_0255_CEERS__source_id_fof_08277.html
CEERS__source_id_fof_08338,2759,3.0,3.4375,sources/source_0256_CEERS__source_id_fof_08338.html
CEERS__source_id_fof_08029,11347,3.0,3.4379,sources/source_0257_CEERS__source_id_fof_08029.html
CEERS__source_id_fof_07765,1034,3.0,3.4386,sources/source_0258_CEERS__source_id_fof_07765.html
CEERS__source_id_fof_08070,12677,3.0,3.4391,sources/source_0259_CEERS__source_id_fof_08070.html
CEERS__source_id_fof_08290,2452,3.0,3.4399,sources/source_0260_CEERS__source_id_fof_08290.html
CEERS__source_id_fof_05090,12913,3.0,3.4426,sources/source_0261_CEERS__source_id_fof_05090.html
CEERS__source_id_fof_08314,2617,3.0,3.4464,sources/source_0262_CEERS__source_id_fof_08314.html
CEERS__source_id_fof_08782,84534,3.0,3.4606,sources/source_0263_CEERS__source_id_fof_08782.html
CEERS__source_id_fof_08103,14227,3.0,3.4624,sources/source_0264_CEERS__source_id_fof_08103.html
CEERS__source_id_fof_08276,2345,3.0,3.4761,sources/source_0265_CEERS__source_id_fof_08276.html
CEERS__source_id_fof_08811,85865,3.0,3.4787,sources/source_0266_CEERS__source_id_fof_08811.html
